SMA_1,SMA_2,SMA_3,SMA_4,SMA_5,SMA_6,SMA_7,SMA_8,SMA_9,SMA_10,ECC_1,ECC_2,ECC_3,ECC_4,ECC_5,ECC_6,ECC_7,ECC_8,ECC_9,ECC_10,INC_1,INC_2,INC_3,INC_4,INC_5,INC_6,INC_7,INC_8,INC_9,INC_10,cost_static,cost_integral,cost_total,time, time_start
0.4642473208959625,0.5819685807513368,0.8162814393822698,0.8992425160205589,0.2881147528502067,0.9724331190429971,0.2958164108170931,0.9136657594775727,0.42898449622769314,0.6343294195753835,0.32690358791029744,0.5004138732663737,0.8665626158547656,0.8421700664856118,0.941413366505522,0.7517921142762036,0.34161824185124723,0.8165986788505679,0.09979977555154146,0.27355424779484316,1.4099922982326625,1.4401639628576823,0.14485377068328975,1.2883588818207468,0.23924353138993004,1.2087444196266852,1.2765004742419057,0.39894355133743886,0.03149347864396834,0.13282065841075164,46205498.68879702,-6724992.998599719,52930491.687396735,-6724992.998599719,0.19448633241943092
0.20839735794960534,0.7911871893086376,0.31643048943464747,0.8462223545289486,0.9718483449261037,0.6377750390045153,0.9213350248875378,0.16230866843270886,0.9017204126968343,0.850714168431417,0.5871629596021553,0.9309136339585544,0.7635693693117223,0.8981244773283186,0.38456952158378555,0.7546005543335274,0.4102389641905116,0.7144082038134065,0.6690324440743096,0.5183430966689324,0.9923972125751698,1.0690704304687173,1.3553962217361168,1.382674720432292,1.2113103004213637,0.2897115401853605,0.8597988145539337,1.2492543978893256,0.4760031885677935,0.7039923650595742,45142971.81201539,-4998375.675135027,50141347.487150416,-4998375.675135027,0.24391454624382453
0.38569921337070806,0.7044172186737429,0.9954597996635328,0.9927130677512686,0.33735634626747946,0.5994039986612772,0.6617428298008922,0.3645552631615072,0.765463138176162,0.5428247757046635,0.35252079052885377,0.43617151732685583,0.3238883137979385,0.47911521106699817,0.35213438085714666,0.9317343732325092,0.9522218152347842,0.46255644852797634,0.6867495458955828,0.5294134339281595,0.4381468802080629,0.389373931754269,1.3652315230194354,0.630220951878687,1.3280664554293184,1.313532881365644,0.9414899387295204,0.311512004657111,0.5998685645437822,0.8540510564428447,44857134.03113211,-3753966.7933586715,48611100.82449078,-3753966.7933586715,0.1948463088993777
0.810794779494798,0.2920815242820592,0.7296878137005682,0.7517203411611479,0.8110098062787316,0.12482742416215159,0.8654255452892093,0.4619730334475179,0.5840122827602726,0.15560942330364325,0.47685667816421806,0.08139671881993071,0.18431425754799075,0.6446522196708515,0.04889626882620596,0.2813515710672178,0.21253252280913149,0.4767095167524695,0.2961946387378006,0.7302674695968647,1.3749997231368918,0.4409213513732785,0.7480724427838145,1.104477099938915,0.9317958597034959,0.14764940455933406,0.01823308303023985,0.5569283351349055,1.0857129900659286,1.338226085550184,45277037.66099108,-12143356.671334267,57420394.33232535,-12143356.671334267,0.8709324690477055
0.48834832520325044,0.6386604021499207,0.5918500441119564,0.922125740061976,0.5458258675374288,0.7492943138127228,0.4772563502183913,0.9373509677925326,0.5812353458753116,0.9816848490264264,0.5420090843010215,0.011251562602712428,0.2702385661739891,0.6025958633278253,0.2509117395326307,0.17633437176771405,0.46102315666980787,0.4473412136170269,0.9184175048228695,0.7071215855099587,0.5882181191424485,0.1527682694661504,0.5364000012036151,0.5214677674873507,1.0824339804303786,0.35275502575387485,0.6580492150836296,0.43852781786808215,0.9413466166983246,0.27453631174137416,44611846.829880886,-5516879.375875175,50128726.20575606,-5516879.375875175,0.688629825407176
0.7552379546683949,0.3414712034812614,0.8817968967785812,0.9498817706616691,0.8743522247975768,0.5296259342649422,0.2797529177141391,0.27626689701466806,0.6728321062376728,0.13955453458497818,0.4372289410838657,0.8723679900184581,0.6127101052905103,0.45703931023986505,0.508623395698267,0.9432184279667609,0.625660583656766,0.673053435070937,0.8657159879229409,0.06054777640735348,0.7760644958686266,0.5036983327406857,0.7861643519036879,0.7481327711882148,1.2612977426484728,1.4344976367424995,1.472142090726178,0.9915724795253433,0.6611478200290075,1.0596746746702828,43214958.70009178,-6522776.555311061,49737735.25540284,-6522776.555311061,0.5706439854963044
0.32308580366525896,0.7321031753671909,0.3499005099633603,0.546456585036735,0.43224207946851545,0.4521927689253453,0.23199990502350903,0.6695520732617448,0.8176255261971699,0.18820893934778993,0.9753595767402619,0.3887983032457602,0.49533814593993264,0.4115147105574616,0.5666487303717623,0.9490526342831398,0.2522577262366075,0.07769466753885335,0.6957967130598933,0.37223174770997824,0.9788482234844298,0.28841828428769023,0.11340752306939383,0.8748578593809971,0.5119032286758962,0.7895692881133688,1.3478367368829978,1.0961746185977912,0.046791603465352716,0.45912824702871663,44558399.830008715,-5547989.597919583,50106389.4279283,-5547989.597919583,0.7760075934149816
0.9326788618934069,0.566007216300187,0.44900451508201256,0.6705701808189731,0.3904791987456056,0.5339051622935093,0.07212366646080948,0.5815402450393382,0.9439141571001928,0.8062218817961839,0.29802999919577844,0.47578795428635096,0.44844080146609056,0.8343985400373758,0.7491770880937294,0.7120747988362484,0.022169789001717455,0.618436923159251,0.8304583626342261,0.6985975572709969,0.7781869493474747,1.1674929823347968,0.7114779841223673,0.4977301796474464,1.4628992118513942,1.2632053155511065,1.3526141961875262,0.953294310448385,0.40043704452501944,0.9182325949613074,45091000.8198635,-5003560.712142428,50094561.53200593,-5003560.712142428,0.18850430542161056
0.7956859124964437,0.9659594952168786,0.46677726681020204,0.8556915983776124,0.35568780467248984,0.237608257213494,0.40753708019756774,0.7117843605847286,0.6035872496797104,0.32043002953174266,0.2989001657236343,0.3303703426853323,0.027424787064645684,0.8131444112323778,0.9849726252258229,0.6689410415643111,0.908354418905551,0.6663528112234011,0.1724763882312335,0.05584821814597407,0.705746777496898,0.7861430955912856,0.0875819869759763,0.6497230839707733,0.09846082908570952,1.3604613414834752,0.44466963632047235,0.008897139495133932,0.5361900410443456,1.196372269851843,47308370.46769432,-9089369.873974795,56397740.34166911,-9089369.873974795,0.8194863531874497
0.2841095654066523,0.9188908756304985,0.4255693214981388,0.34452583861271846,0.7207628401876315,0.06907414980906579,0.31991548218792354,0.03805859207361034,0.8973580191599152,0.08261571674144186,0.438266751632594,0.39567883859868935,0.7527513258899061,0.4646692172529435,0.8567811280789627,0.0534956476512648,0.16753533754303512,0.7776028211054797,0.5287203884569264,0.9773425264151389,0.4956405760078819,0.6714397568458564,0.2095764867000106,0.8950216600175738,0.30066635160180566,0.6211660795893257,0.7352714253409812,1.258001181819334,0.4075952176999729,1.1138512007991725,44636488.19312615,-5522064.412882576,50158552.60600872,-5522064.412882576,0.7919488529206454
