SMA_1,SMA_2,SMA_3,SMA_4,SMA_5,SMA_6,SMA_7,SMA_8,SMA_9,SMA_10,ECC_1,ECC_2,ECC_3,ECC_4,ECC_5,ECC_6,ECC_7,ECC_8,ECC_9,ECC_10,INC_1,INC_2,INC_3,INC_4,INC_5,INC_6,INC_7,INC_8,INC_9,INC_10,cost_static,cost_integral,cost_total,time,time_start,a_intercept,e_intercept,i_intercept,r_init,i_init,solar_phasing,propagation_cutoff_a
0.4642473208959625,0.5819685807513368,0.8162814393822698,0.8992425160205589,0.2881147528502067,0.9724331190429971,0.2958164108170931,0.9136657594775727,0.42898449622769314,0.6343294195753835,0.32690358791029744,0.5004138732663737,0.8665626158547656,0.8421700664856118,0.941413366505522,0.7517921142762036,0.34161824185124723,0.8165986788505679,0.09979977555154146,0.27355424779484316,1.4099922982326625,1.4401639628576823,0.14485377068328975,1.2883588818207468,0.23924353138993004,1.2087444196266852,1.2765004742419057,0.39894355133743886,0.03149347864396834,0.13282065841075164,46205498.68879702,-6724992.998599719,52930491.687396735,-6724992.998599719,0.19448633241943092,0,0,0,0,0,0,0
0.44317968286089543,0.1728628600517974,0.10039861860772631,0.5491145698902521,0.19875532328513995,0.41205603520448597,0.5674298727546209,0.603156177958285,0.3760675344270282,0.8322687959873374,0.7842728375955371,0.6932159240097876,0.5665881753803921,0.5280611401359054,0.253795884395577,0.7533345682921047,0.41936530906325714,0.70646134779016,0.37317840030698923,0.9893331023780922,0.8393144187377386,1.3994727375538427,0.26760102898196425,1.073191568175306,0.41844432721239755,0.2427264658575199,0.26438684358168363,1.4769569110393244,1.565568612437112,0.34789660922347987,34651004.80327032,-1602176.4352870574,36253181.238557376,-1602176.4352870574,-0.895467832828871,198050297.6388669,0.40468660466558803,0.11683105295411736,28186863.60443697,0.14254012,1.32446385,1.99568642e+08
0.6764126626619041,0.5407598102733188,0.9811516948596295,0.1307912591929598,0.7458750854701397,0.30609875053611346,0.39814218887595676,0.7699065862063683,0.7593204702271388,0.9281048261453526,0.9416935943991601,0.2768171556502752,0.5602675422339681,0.18987131146243402,0.764322106334061,0.5079491462978039,0.07975458049449458,0.47756152654486456,0.5460750817455846,0.9533897059697417,1.1625475551666637,1.322097286132304,1.5309948435592036,0.25913356467556237,1.0127461623220417,0.23267304067649297,0.07775471198594297,0.7647523172742375,0.777139761568078,1.2618897697260427,30709191.82836647,-1073302.6605321064,31782494.488898575,-1073302.6605321064,0.08588555858569147,195972792.6424594,0.38564725105338665,0.09876142702164417,33097605.12278954,0.10334482,1.39990489,1.9782404e+08
0.38991148679020615,0.13473934991436154,0.733575288084478,0.17140483713355298,0.8045027833290346,0.9601827493345998,0.2910340803892009,0.14370299834698297,0.928732471592584,0.6289891375015136,0.9302819428743893,0.39818197422432383,0.521766757279798,0.3011576266728665,0.23293748093351263,0.9247564949458903,0.889866295980254,0.7318542496859017,0.383645016114384,0.6631584505744479,0.8006742778566279,0.05083811626164281,0.3990525259186092,1.2905135417454625,0.12999105743764205,1.259949649250181,0.8307893033925225,0.08998014044938629,0.34150457481452706,0.24551678142434896,28031050.925617345,-1876983.3966793357,29908034.32229668,-1876983.3966793357,0.785701515334533,191272276.58596236,0.30098319461030176,0.10251095572338484,35266907.96988099,0.11843226,2.03744179,1.92996166e+08
0.9864740584107209,0.2973289060959316,0.3265709564118807,0.5892346387826258,0.975268042297994,0.7153359504330521,0.6905740465552962,0.7690416988891899,0.0337934302694643,0.9196144182601231,0.6632066397545442,0.08732865546637408,0.794046999589517,0.5751678156622915,0.7571549601115727,0.36511612179589353,0.29287716361163585,0.2799705479041252,0.06415919611397397,0.9304051829653621,0.1811112417934343,0.18937563612649577,0.9858563125363096,1.3237994325112206,1.3720318238559757,0.8385895912180361,0.8060800614174524,1.4935292472338837,0.035350759506011076,1.4206820441674712,27545477.805994898,-4127289.457891578,31672767.263886474,-4127289.457891578,-0.4287950843963424,177166385.94607517,0.34788056940450746,0.10231169976605133,34995513.77092855,0.12080608,2.88348379,1.77471415e+08
0.5829672510937061,0.22442373744304406,0.46920115230036474,0.6167623256189549,0.5916460504054901,0.08689600033558076,0.18428050332337076,0.8165122449601749,0.8997323743803751,0.05443615716137973,0.4054451117830904,0.1244458650021299,0.6450626807505535,0.8077958659970506,0.1938578531335416,0.7239507175935656,0.4803387336821183,0.08281478916851631,0.290712406473807,0.25589164486495664,1.413378940527159,1.1722176021432738,1.0727543513174207,0.4675624719684853,1.25722360024395,0.603599191801427,1.156642836012212,1.0816123608578094,0.5002999093001403,0.8991344313678098,28244729.633231603,-1887353.4706941387,30132083.103925742,-1887353.4706941387,0.5051378758865774,183435070.0285105,0.3053974201687461,0.11258526800839165,34707069.19430906,0.12838686,1.31216383,1.84983457e+08
0.42879489980386093,0.6630667723577572,0.9715711882424374,0.04029650428078413,0.5781152586958738,0.49997334194178156,0.22310232333897645,0.7568318310260873,0.3439543897684941,0.13819414824173026,0.33410480221451216,0.5051703470669936,0.25585116986245826,0.054828683743931184,0.8763655344824581,0.19869520055087414,0.32936561653104324,0.01173966473730731,0.36249460691897356,0.8141857519192043,0.24705799634528625,0.017056614191934494,0.7539425237498576,0.5609887027452201,0.031173470831019623,0.31837322654289585,0.3983544883863654,0.3346497239192419,1.4933991540867169,0.28833763015515934,29799908.047420055,-772570.5141028205,30572478.561522875,-772570.5141028205,0.847313596694913,195555922.39368236,0.373921367822682,0.09047206278427075,33877714.51979902,0.09665272,1.17172526,1.97227075e+08
0.2637285933335166,0.3742201321790062,0.5690807000988185,0.18516222456749848,0.7545197093870413,0.814517577325764,0.5004042913017211,0.4273208412203394,0.7418357933936361,0.8965666954565219,0.18785574309401298,0.874171493900644,0.5165726761178767,0.6155865315047052,0.24738685095923607,0.9120081501824615,0.5751852959782434,0.19373184815709604,0.8328999588327703,0.8299575572604332,1.1219066296237674,0.7355450534690545,1.1484104625115747,1.2791993346525323,0.9474617912326263,1.0736748805652603,0.32403634118490804,1.1041417036479566,0.5040011731747478,1.3792041406837385,35516080.63718754,-1482920.5841168233,36999001.221304365,-1482920.5841168233,-0.6549239690405478,188514158.46528047,0.3927669688471883,0.11284943300331265,26927494.26436353,0.13034346,4.15309432,1.92675024e+08
0.3729108575649317,0.0890392162021219,0.9022411244469405,0.6030144400700258,0.15103433139361394,0.6613186551808753,0.9679542929384546,0.9631338817262741,0.7726541870761353,0.3846351507114157,0.7392730637043992,0.9592101548005583,0.6556277477121027,0.7036031729191061,0.6093214681434223,0.8623132119771956,0.6046546472778612,0.17027454955898402,0.08840917768661655,0.7770844699757358,1.0533498382148951,0.6003789009430927,1.5012031563505204,0.6787456392151529,0.32613317998866154,0.24060226843357713,0.16743751707631915,0.6868168512405017,0.8612221651686514,0.8210106100405394,28862264.216380913,-829605.9211842368,29691870.13756515,-829605.9211842368,0.9522309459203817,198794319.9617187,0.3595410875551789,0.09344193438556281,35108381.25702552,0.09848107,1.43001366,1.99603542e+08
0.3367109454056223,0.9712177587032356,0.4345575170323627,0.4078343808260736,0.8367544370020155,0.800132311383638,0.7589780882895719,0.31472048224833693,0.8101119478147312,0.37356000218997076,0.41746636420055455,0.10472131282981167,0.6825552308639777,0.047774794320934344,0.6697388988138697,0.79833779249899,0.4289196530924207,0.6687554493582439,0.32537213598948733,0.587632516578995,1.1363861183716084,1.2862069752616403,0.07257320874497131,1.3474677779920843,0.06510787561818443,1.1635616229434762,1.4392029160377837,0.9121253197057122,1.2363363990976346,1.482184559241471,29672670.84372677,-772570.5141028205,30445241.35782959,-772570.5141028205,0.7374583580290763,198925783.55565572,0.36637711086315855,0.0961301359650242,34184900.79060829,0.10326803,1.40371106,1.99717012e+08
